model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.045927772162164704,58.96172000749011,0.046608089090342364,,44,44,True,"{""best_lag"": 1, ""best_r2"": 0.045927772162164704}",N-DE,D+E,W,raw,SPY,368.77205888583063
multilag_ols,0.11478677979256358,65.31886714769948,0.03400522724186224,0.0008054776848807302,18860,44,True,{},N-DE,D+E,W,raw,SPY,424.16874390125537
multilag_ols_month_fe,0.1445223894014056,63.304826304099436,0.038123493709976,0.00725576835146381,18860,44,True,{},N-DE,D+E,W,raw,SPY,426.9970677348039
cross_correlation,,0.09505143323791503,0.03206395679651217,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.09505143323791503}",N-DE,D+E,W,raw,SPY,
panel_pooled,0.02538114097808819,60.3906073492258,0.17131717267663182,30.7754514820762,18860,44,False,"{""r2_overall"": 0.02546660734971873, ""r2_between"": 0.050409569184279746}",N-DE,D+E,W,raw,SPY,108.5770564756261
panel_entity_fe,0.025381400797259368,60.32893905746742,0.17729769022106678,30.599812030240034,18860,44,False,"{""r2_overall"": 0.025466349195843896, ""r2_between"": 0.050218398400261544}",N-DE,D+E,W,raw,SPY,108.57800106453652
panel_entity_time_fe,-74.655602357573,-16.434186706880315,0.06481753068514884,39424.58451712497,18860,44,False,"{""r2_overall"": -74.22063080292959, ""r2_between"": -22.871553228827448}",N-DE,D+E,W,raw,SPY,-746685.5464838154
panel_entity_fe_excess,0.029815492749955985,4.46375237439533,0.892354852734685,20.582606834120938,18825,44,False,"{""r2_overall"": 0.029974257372163193, ""r2_between"": 0.0674535106705384}",N-DE,D+E,W,raw,SPY,107.00364613320468
panel_entity_fe_controls,0.02618568404849142,60.5350929699769,0.17438535864479032,29.73538700370274,18860,44,False,"{""r2_overall"": 0.026614331383522538, ""r2_between"": 0.0297887589753556}",N-DE,D+E,W,raw,SPY,105.76054959449354
asymmetry,0.13864785507706923,29.097095349991896,,,18860,44,False,"{""beta_pos_median"": 29.097095349991896, ""beta_neg_median"": 26.41825257345692, ""asymmetry_ratio_median"": 0.8456369086735918, ""wald_p_median"": 0.003500308556893024}",N-DE,D+E,W,raw,SPY,295.57023283139193
